study,domain,sub_domain,source,table_name,name,label,has_skip_logic,sensitivity,plab_facet,plab_subfacet,alexsa_facet
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__dance_005,"Ballet, Dance: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__dance_005__l,"Ballet, Dance: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__drama_002,"Theater, Acting, Film: About how many days per week? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__drama_002__l,"Theater, Acting, Film: About how many days per week? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__drama_004,"Theater, Acting, Film: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__drama_004__l,"Theater, Acting, Film: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__drama_005,"Theater, Acting, Film: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__drama_005__l,"Theater, Acting, Film: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__fhock_002,Field Hockey: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__fhock_002__l,Field Hockey: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__fhock_004,"Field Hockey: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__fhock_004__l,"Field Hockey: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__fhock_005,"Field Hockey: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__fhock_005__l,"Field Hockey: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__field_002,"Field events (e.g. shot, discuss, high jump, javelin etc): About how many days per week? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__field_002__l,"Field events (e.g. shot, discuss, high jump, javelin etc): About how many days per week? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__field_004,"Field events (e.g. shot, discuss, high jump, javelin etc): Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__field_005,"Field events (e.g. shot, discuss, high jump, javelin etc): Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__fishing_002,"Fishing, Hunting, Archery: About how many days per week? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__fishing_002__l,"Fishing, Hunting, Archery: About how many days per week? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__fishing_004,"Fishing, Hunting, Archery: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__fishing_005,"Fishing, Hunting, Archery: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__footb_002,Football: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__footb_002__l,Football: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__footb_004,"Football: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__footb_004__l,"Football: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
